rank,start,end,value
250,13,16,0.018356638863057162
251,5,16,0.01830252237409269
252,39,42,0.01825997692914183
253,15,19,0.01812402881616082
254,24,33,0.018114402097246796
255,26,35,0.018023079745270953
256,1,9,0.018005864269496907
257,12,17,0.01792177741650236
258,16,29,0.017689964254938184
259,14,20,0.017446434900076024
260,20,23,0.017432006273887968
261,26,32,0.017375909921817367
262,24,32,0.017356251870726203
263,10,36,0.017321691934774064
264,11,32,0.01723050663057757
265,25,34,0.01716680447818053
266,1,23,0.016994375986568944
267,4,19,0.016850322997890244
268,5,36,0.01671386773982153
269,4,8,0.016707065196819526
270,25,32,0.01669258211764224
271,1,22,0.016363838742787795
272,12,20,0.016205892958373047
273,28,36,0.01619502959806085
274,17,31,0.016058047630855388
275,8,18,0.016048666820725588
276,5,10,0.016010884107335865
277,25,35,0.01600243140238522
278,23,31,0.01592480503357252
279,9,31,0.015755146646991403
280,16,28,0.01572527661409895
281,23,30,0.015654428991634273
282,15,36,0.015568416264789109
283,23,29,0.015511720865996503
284,11,35,0.015462409742473593
285,6,15,0.015421630595991997
286,17,35,0.015418653808112692
287,17,33,0.015409995410788913
288,3,21,0.015383686114561979
289,38,42,0.015267231520011082
290,21,27,0.015261860092927515
291,17,27,0.015239316554027882
292,1,21,0.01520586396211554
293,11,34,0.015140611002218085
294,5,12,0.015099600848113015
295,21,25,0.015096859062013301
296,9,30,0.014992353092027066
297,22,27,0.014898779010695806
298,13,21,0.014890897216500498
299,11,17,0.014862150321081735
300,18,19,0.014857249828003738
301,9,33,0.014828381548325442
302,11,16,0.014815485066422385
303,6,17,0.01476298243828178
304,9,29,0.014621031512926708
305,21,28,0.014546307477627307
306,23,33,0.014481832480299994
307,5,35,0.014450041814590309
308,19,37,0.014448824122055504
309,39,43,0.014254332645921464
310,21,26,0.014237685484979057
311,7,15,0.014225955051519357
312,4,10,0.014207018733091603
313,24,34,0.014181828116065276
314,5,33,0.014096688467747365
315,24,35,0.014081196955116004
316,39,40,0.01405905323762191
317,5,11,0.013934308961699005
318,6,10,0.013881756513016708
319,11,36,0.013875297663535235
320,9,32,0.013782553121988617
321,13,17,0.013754785332569464
322,7,17,0.01375424447213991
323,13,22,0.013681773739904202
324,17,30,0.013643270472366797
325,3,24,0.013565059632792753
326,7,10,0.013497598219321949
327,16,24,0.013490835365888243
328,2,21,0.013412631505631989
329,8,19,0.013402478014561847
330,15,18,0.013371352622997712
331,4,16,0.01336762744383746
332,26,36,0.013340846982864862
333,17,34,0.013292397370741726
334,6,16,0.013280048614903395
335,16,26,0.013188501225632532
336,17,24,0.013138106987527154
337,17,19,0.013116330145664934
338,5,31,0.013073909194666111
339,9,17,0.013047251953247407
340,7,16,0.0129772975266218
341,22,28,0.012856780443434523
342,5,32,0.012761790653434746
343,23,32,0.012752795900023983
344,17,18,0.012677248210176462
345,22,25,0.012660836401623632
346,24,36,0.012551907344051205
347,6,12,0.012509159468823805
348,21,31,0.012499058022060971
349,16,19,0.012441938437633526
350,38,43,0.012441870352020823
351,1,5,0.012426418021476815
352,3,23,0.012405165994204603
353,16,25,0.01236293811252498
354,4,11,0.012331013726763596
355,7,12,0.012326696490144728
356,22,31,0.01232256371331708
357,9,16,0.012313836342846107
358,6,11,0.012297488851246596
359,25,36,0.012295437676817622
360,2,14,0.012294152539457537
361,3,14,0.012268108769827979
362,17,29,0.01222910171120506
363,9,35,0.012226553111747585
364,17,28,0.01222306953695873
365,4,12,0.012215987079984503
366,22,26,0.012206748874358686
367,14,41,0.012178479652244167
368,6,36,0.01216526979869581
369,38,40,0.01214882737022771
370,5,9,0.012107676336955642
371,17,22,0.012106719669144894
372,5,13,0.012077422471671317
373,7,36,0.012063662727589852
374,7,11,0.011983300190593571
375,3,12,0.01196964957304969
376,2,24,0.011953564320348109
377,5,34,0.011951404711608271
378,5,30,0.011941879859897142
379,5,28,0.011907549162413433
380,10,15,0.011820041117303504
381,9,34,0.011781792334815355
382,35,41,0.011774009630019622
383,21,30,0.01175938050450398
384,22,32,0.011646624799363847
385,33,41,0.011618573574186053
386,12,15,0.011547155656339125
387,15,32,0.011506475010743866
388,4,36,0.011496120164504742
389,21,33,0.011478853844200998
390,5,27,0.011476994633315307
391,33,39,0.011417596816246656
392,5,29,0.01140017197199672
393,9,36,0.011357615110229702
394,14,39,0.011318381033389002
395,21,29,0.011308944712059343
396,2,22,0.011304215981328358
397,15,35,0.011296883176986627
398,22,30,0.011291246476053951
399,20,28,0.011264833019559273
400,33,38,0.011258110094757523
401,22,33,0.011243169218186244
402,23,34,0.011231658724461191
403,35,39,0.011188949486424349
404,14,43,0.011186666905857567
405,19,36,0.011171708615887788
406,4,9,0.011169089390407949
407,23,35,0.011160011910734902
408,7,33,0.011116376211831813
409,6,33,0.011104755652198595
410,20,25,0.011097882694311112
411,21,32,0.011095477262202058
412,13,20,0.011092147860919388
413,7,35,0.011083779057756038
414,6,35,0.011031802112174027
415,5,24,0.01102722340762452
416,14,38,0.0110258352617576
417,1,15,0.01101548405693098
418,14,40,0.011000141416108278
419,2,12,0.010991011970879816
420,1,20,0.01093258063226421
421,14,42,0.010891782021379193
422,20,26,0.01087490583843942
423,20,27,0.010861740637872597
424,6,9,0.010810713708967246
425,35,38,0.010802319453119491
426,15,33,0.010791576068242215
427,17,26,0.010663820925470358
428,22,29,0.01063715475916216
429,1,4,0.01060985430931316
430,2,23,0.010587429198655629
431,5,43,0.010568508967035095
432,15,37,0.010550275090763783
